Month of Year,Domain,Operating System,State/Province,Source,Bounces,Entrances,Pageviews,Time on Page
1,rogers.com,iOS,Ontario,education.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,Ontario,eecs.uottawa.ca,5,5,5,0
1,pnap.net,iOS,Ontario,google,5,5,5,0
1,cgocable.net,iOS,Ontario,google.ca,5,5,5,0
1,uottawa.ca,iOS,Ontario,google.ca,5,5,5,0
1,unknown.unknown,iOS,Ontario,google.com,5,5,5,0
1,ottawahospital.on.ca,iOS,Ontario,med.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,Ontario,med.uottawa.ca,5,5,5,0
1,uottawa.ca,iOS,Ontario,philosophie.uottawa.ca,5,5,5,0
1,bell.ca,iOS,Ontario,registrar.uottawa.ca,5,5,5,0
1,carleton.ca,iOS,Ontario,registrar.uottawa.ca,5,5,5,0
1,ottawahospital.on.ca,iOS,Ontario,search,5,5,5,0
1,unknown.unknown,iOS,Ontario,sfx.scholarsportal.info,5,5,5,0
1,bell.ca,iOS,Ontario,sic.uottawa.ca,5,5,5,0
1,teksavvy.com,iOS,Ontario,socialsciences.uottawa.ca,5,5,5,0
1,acndigital.net,iOS,Ontario,uottawa.ca,5,5,5,0
1,magma.ca,iOS,Ontario,uottawa.ca,5,5,5,0
1,mcmaster.ca,iOS,Ontario,uottawa.ca,5,5,5,0
1,telus.com,iOS,Ontario,uottawa.ca,5,5,5,0
1,unknown.com,iOS,Ontario,uottawa.ca,5,5,5,0
1,tegh.on.ca,iOS,Ontario,uottawa.ca.libguides.com,5,5,5,0
1,uottawa.ca,iOS,Ontario,ustpaul.ca,5,5,5,0
1,bell.ca,iOS,Ontario,virtualcampus.uottawa.ca,5,5,5,0
1,teksavvy.com,iOS,Ontario,web33.uottawa.ca,5,5,5,0
1,rogers.com,iOS,Ontario,worldcat.org,5,5,5,0
1,cgocable.net,iOS,Ontario,yahoo,5,5,5,0
1,rogers.com,iOS,Ontario,yahoo,5,5,5,0
1,proxad.net,iOS,Provence-Alpes-Cote d'Azur,president.uottawa.ca,5,5,5,0
1,umontreal.ca,iOS,Quebec,(direct),5,5,5,0
1,,iOS,Quebec,commonlaw.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,Quebec,english.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,Quebec,facebook.com,5,5,5,0
1,teksavvy.com,iOS,Quebec,google,5,5,5,0
1,videotron.ca,iOS,Quebec,google.ca,5,5,5,0
1,unknown.unknown,iOS,Quebec,history.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,Quebec,sante.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,Quebec,tlss.uottawa.ca,5,5,5,0
1,videotron.ca,iOS,Quebec,web.ebscohost.com.proxy.bib.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,Riyadh Province,med.uottawa.ca,5,5,5,0
1,as9105.com,iOS,Scotland,google,5,5,5,0
1,prod-infinitum.com.mx,iOS,Sinaloa,med.uottawa.ca,5,5,5,0
1,comcast.net,iOS,Tennessee,writingcentre.uottawa.ca,5,5,5,0
1,comcast.net,iOS,Colorado,catalogue.bib.uottawa.ca,5,9,14,66
1,allstream.net,iOS,Ontario,(direct),5,9,19,"1,447"
1,yorku.ca,iOS,Ontario,google,5,9,19,833
1,bell.ca,iOS,Ontario,google.ca,5,9,52,993
1,uottawa.ca,iOS,Ontario,science.uottawa.ca,5,9,19,"1,929"
1,cgocable.net,iOS,Ontario,uottawa.ca,5,9,14,5
1,rogers.com,iOS,Ontario,uottawa.ca.libguides.com,5,9,19,281
1,unknown.unknown,iOS,Quebec,google.ca,5,9,14,28
